,username,protected,verified,location,followers_count,following_count,tweet_count,listed_count
5521,5521,False,False,,1,34,0,0
5522,5522,False,False,,1,11,0,0
5523,5523,False,False,,2,48,0,0
5524,5524,False,False,CDMX,460,583,2045,0
5525,5525,False,False,,1,71,0,0
5526,5526,False,False,"México, A.@",1140,1504,2748,3
5527,5527,True,False,,0,27,0,0
5528,5528,False,False,,4,88,0,0
5529,5529,False,False,,0,66,13,0
5530,5530,False,False,,0,7,1,0
5531,5531,False,False,,0,100,0,0
5532,5532,False,False,,31,134,664,0
5533,5533,True,False,,1,53,0,0
5534,5534,False,False,"Iztapalapa, Distrito Federal",40,201,43,0
5535,5535,False,False,,0,12,0,0
5536,5536,False,False,,1,22,0,0
5537,5537,False,False,,1,264,11,0
5538,5538,False,False,Everywhere,15,327,180,3
5539,5539,True,False,,562,789,643,0
5540,5540,False,False,,0,6,0,0
5541,5541,False,False,,0,11,0,0
5542,5542,False,False,,3,31,0,0
5543,5543,False,False,,0,12,0,0
5544,5544,False,False,,1445,1456,12625,5
5545,5545,False,False,,0,11,0,0
5546,5546,False,False,"Santo Domingo Tehuantepec, Oax",3,45,15,0
5547,5547,False,False,,0,18,0,0
5548,5548,False,False,,3,83,0,0
5549,5549,False,False,,0,167,135,0
5550,5550,False,False,,10,114,39,0
5551,5551,True,False,"Tabasco, México",7,90,2,0
5552,5552,True,False,,0,50,0,0
5553,5553,True,False,,0,217,0,0
5554,5554,False,False,,1,21,0,0
5555,5555,False,False,,2,218,45,0
5556,5556,False,False,,0,1,0,0
5557,5557,False,False,CDMX,8,60,34,0
5558,5558,False,False,,0,10,0,0
5559,5559,False,False,"Torreón, Coahuila de Zaragoza",61,202,1415,2
5560,5560,False,False,,0,64,0,0
5561,5561,False,False,,5,106,69,0
5562,5562,False,False,,0,82,5,0
5563,5563,False,False,,61,1070,305,0
5564,5564,False,False,,11,233,65,0
5565,5565,False,False,,0,13,0,0
5566,5566,False,False,,0,4,0,0
5567,5567,False,False,,1,84,4,0
5568,5568,False,False,,0,57,0,0
5569,5569,False,False,,0,7,0,0
5570,5570,False,False,,47,151,157,0
